id,nombre,edad,perfil,sesgo,preocupacion,pais,provincia,ciudad,nse
94,Persona_94,53,Docente,Justicia Social,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,C2 (Medio-Alto)
95,Persona_95,46,Obrero de fábrica,Justicia Social,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,C2 (Medio-Alto)
96,Persona_96,74,Profesional independiente,Progresista,Economía y Seguridad,Argentina,Córdoba,Villa María,C2 (Medio-Alto)
97,Persona_97,60,Trabajador informal,Conservador,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
98,Persona_98,36,Trabajador informal,Conservador,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C3 (Medio)
99,Persona_99,48,Trabajador informal,Justicia Social,Economía y Seguridad,Argentina,Salta,Cafayate,ABC1 (Alto)
100,Persona_100,66,Docente,Antisistema,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,ABC1 (Alto)
101,Persona_101,47,Trabajador informal,Liberal,Economía y Seguridad,Argentina,Buenos Aires,Tandil,E (Vulnerable)
102,Persona_102,26,Productor agropecuario,Antisistema,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,D1 (Bajo)
103,Persona_103,47,Docente,Justicia Social,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,D1 (Bajo)
104,Persona_104,41,Empleado público,Justicia Social,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,E (Vulnerable)
105,Persona_105,69,Profesional independiente,Pragmático,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,ABC1 (Alto)
106,Persona_106,47,Desempleado,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
107,Persona_107,73,Desempleado,Progresista,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C2 (Medio-Alto)
108,Persona_108,49,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Tandil,E (Vulnerable)
109,Persona_109,42,Estudiante universitario,Escéptico,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
110,Persona_110,51,Estudiante universitario,Antisistema,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,C3 (Medio)
111,Persona_111,64,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,D1 (Bajo)
112,Persona_112,43,Profesional independiente,Conservador,Economía y Seguridad,Argentina,Buenos Aires,Tandil,C3 (Medio)
113,Persona_113,44,Jubilado,Antisistema,Economía y Seguridad,Argentina,Salta,Salta Capital,D1 (Bajo)
114,Persona_114,40,Empleado público,Liberal,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
115,Persona_115,39,Docente,Justicia Social,Economía y Seguridad,Argentina,Santa Fe,Rosario,ABC1 (Alto)
116,Persona_116,24,Programador freelance,Pragmático,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,ABC1 (Alto)
117,Persona_117,43,Estudiante universitario,Progresista,Economía y Seguridad,Argentina,Mendoza,San Rafael,ABC1 (Alto)
118,Persona_118,62,Profesional independiente,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
119,Persona_119,69,Desempleado,Conservador,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,ABC1 (Alto)
120,Persona_120,40,Profesional independiente,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Tandil,D1 (Bajo)
121,Persona_121,62,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,C3 (Medio)
122,Persona_122,34,Comerciante de barrio,Pragmático,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,E (Vulnerable)
123,Persona_123,74,Desempleado,Liberal,Economía y Seguridad,Argentina,Santa Fe,Rafaela,ABC1 (Alto)
124,Persona_124,32,Docente,Liberal,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
125,Persona_125,33,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,C3 (Medio)
126,Persona_126,52,Productor agropecuario,Progresista,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,D1 (Bajo)
127,Persona_127,40,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,E (Vulnerable)
128,Persona_128,43,Profesional independiente,Antisistema,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
129,Persona_129,67,Trabajador informal,Progresista,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,ABC1 (Alto)
130,Persona_130,66,Emprendedor tech,Escéptico,Economía y Seguridad,Argentina,Santa Fe,Rosario,ABC1 (Alto)
131,Persona_131,50,Obrero de fábrica,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Tandil,C3 (Medio)
132,Persona_132,47,Obrero de fábrica,Liberal,Economía y Seguridad,Argentina,Córdoba,Villa María,C2 (Medio-Alto)
133,Persona_133,68,Desempleado,Justicia Social,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
134,Persona_134,19,Comerciante de barrio,Liberal,Economía y Seguridad,Argentina,Buenos Aires,Mar del Plata,C2 (Medio-Alto)
135,Persona_135,22,Empleado público,Conservador,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,D1 (Bajo)
136,Persona_136,26,Emprendedor tech,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Tandil,E (Vulnerable)
137,Persona_137,43,Profesional independiente,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,D1 (Bajo)
138,Persona_138,22,Emprendedor tech,Justicia Social,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,D1 (Bajo)
139,Persona_139,75,Emprendedor tech,Progresista,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,D1 (Bajo)
140,Persona_140,42,Estudiante universitario,Liberal,Economía y Seguridad,Argentina,Salta,Salta Capital,D1 (Bajo)
141,Persona_141,72,Desempleado,Escéptico,Economía y Seguridad,Argentina,Córdoba,Villa María,D1 (Bajo)
142,Persona_142,69,Trabajador informal,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,C2 (Medio-Alto)
143,Persona_143,45,Productor agropecuario,Progresista,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,E (Vulnerable)
144,Persona_144,52,Estudiante universitario,Escéptico,Economía y Seguridad,Argentina,Buenos Aires,La Plata,C3 (Medio)
145,Persona_145,51,Jubilado,Conservador,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,E (Vulnerable)
146,Persona_146,35,Estudiante universitario,Justicia Social,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
147,Persona_147,46,Jubilado,Antisistema,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
148,Persona_148,59,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
149,Persona_149,46,Empleado público,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
150,Persona_150,61,Jubilado,Escéptico,Economía y Seguridad,Argentina,Córdoba,Río Cuarto,ABC1 (Alto)
151,Persona_151,54,Desempleado,Antisistema,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,C2 (Medio-Alto)
152,Persona_152,62,Desempleado,Liberal,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,D1 (Bajo)
153,Persona_153,39,Trabajador informal,Progresista,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,D1 (Bajo)
154,Persona_154,71,Programador freelance,Progresista,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,ABC1 (Alto)
155,Persona_155,61,Estudiante universitario,Escéptico,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,E (Vulnerable)
156,Persona_156,70,Programador freelance,Escéptico,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
157,Persona_157,34,Productor agropecuario,Escéptico,Economía y Seguridad,Argentina,Mendoza,Luján de Cuyo,ABC1 (Alto)
158,Persona_158,45,Emprendedor tech,Progresista,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
159,Persona_159,67,Productor agropecuario,Pragmático,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
160,Persona_160,64,Docente,Liberal,Economía y Seguridad,Argentina,Córdoba,Villa María,ABC1 (Alto)
161,Persona_161,34,Obrero de fábrica,Conservador,Economía y Seguridad,Argentina,CABA,CABA,E (Vulnerable)
162,Persona_162,61,Profesional independiente,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
163,Persona_163,31,Comerciante de barrio,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,E (Vulnerable)
164,Persona_164,45,Comerciante de barrio,Justicia Social,Economía y Seguridad,Argentina,Salta,Cafayate,D1 (Bajo)
165,Persona_165,67,Comerciante de barrio,Antisistema,Economía y Seguridad,Argentina,Buenos Aires,La Plata,E (Vulnerable)
166,Persona_166,18,Emprendedor tech,Pragmático,Economía y Seguridad,Argentina,Salta,Salta Capital,D1 (Bajo)
167,Persona_167,45,Docente,Antisistema,Economía y Seguridad,Argentina,Santa Fe,Rosario,C3 (Medio)
168,Persona_168,44,Jubilado,Conservador,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
169,Persona_169,46,Trabajador informal,Progresista,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,E (Vulnerable)
170,Persona_170,43,Productor agropecuario,Progresista,Economía y Seguridad,Argentina,CABA,CABA,C2 (Medio-Alto)
171,Persona_171,39,Desempleado,Conservador,Economía y Seguridad,Argentina,Santa Fe,Rosario,ABC1 (Alto)
172,Persona_172,20,Productor agropecuario,Liberal,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,D1 (Bajo)
173,Persona_173,33,Obrero de fábrica,Escéptico,Economía y Seguridad,Argentina,Córdoba,Villa María,E (Vulnerable)
174,Persona_174,41,Docente,Progresista,Economía y Seguridad,Argentina,Buenos Aires,Tandil,D1 (Bajo)
175,Persona_175,21,Docente,Progresista,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
176,Persona_176,73,Obrero de fábrica,Escéptico,Economía y Seguridad,Argentina,Mendoza,San Rafael,ABC1 (Alto)
177,Persona_177,74,Obrero de fábrica,Pragmático,Economía y Seguridad,Argentina,Salta,Cafayate,D1 (Bajo)
178,Persona_178,53,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,C3 (Medio)
179,Persona_179,73,Obrero de fábrica,Pragmático,Economía y Seguridad,Argentina,Córdoba,Río Cuarto,C2 (Medio-Alto)
180,Persona_180,65,Emprendedor tech,Progresista,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,D1 (Bajo)
181,Persona_181,50,Desempleado,Antisistema,Economía y Seguridad,Argentina,Santa Fe,Rosario,C2 (Medio-Alto)
182,Persona_182,73,Jubilado,Justicia Social,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
183,Persona_183,19,Profesional independiente,Pragmático,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,ABC1 (Alto)
184,Persona_184,50,Programador freelance,Progresista,Economía y Seguridad,Argentina,Salta,Salta Capital,C2 (Medio-Alto)
185,Persona_185,36,Productor agropecuario,Justicia Social,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,ABC1 (Alto)
186,Persona_186,63,Programador freelance,Liberal,Economía y Seguridad,Argentina,Buenos Aires,Mar del Plata,D1 (Bajo)
187,Persona_187,70,Trabajador informal,Escéptico,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,C3 (Medio)
188,Persona_188,61,Desempleado,Conservador,Economía y Seguridad,Argentina,Córdoba,Villa María,C3 (Medio)
189,Persona_189,60,Profesional independiente,Justicia Social,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,C2 (Medio-Alto)
190,Persona_190,21,Trabajador informal,Antisistema,Economía y Seguridad,Argentina,Mendoza,San Rafael,ABC1 (Alto)
191,Persona_191,74,Estudiante universitario,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,C2 (Medio-Alto)
192,Persona_192,62,Emprendedor tech,Antisistema,Economía y Seguridad,Argentina,Buenos Aires,La Plata,E (Vulnerable)
193,Persona_193,67,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,C2 (Medio-Alto)
194,Persona_194,37,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Mar del Plata,E (Vulnerable)
195,Persona_195,56,Productor agropecuario,Pragmático,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C2 (Medio-Alto)
196,Persona_196,29,Programador freelance,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,E (Vulnerable)
197,Persona_197,19,Estudiante universitario,Pragmático,Economía y Seguridad,Argentina,Santa Fe,Rafaela,D1 (Bajo)
198,Persona_198,37,Docente,Progresista,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,C2 (Medio-Alto)
199,Persona_199,45,Comerciante de barrio,Justicia Social,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,C2 (Medio-Alto)
200,Persona_200,60,Comerciante de barrio,Conservador,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,ABC1 (Alto)
201,Persona_201,75,Productor agropecuario,Liberal,Economía y Seguridad,Argentina,Buenos Aires,Tandil,C2 (Medio-Alto)
202,Persona_202,40,Comerciante de barrio,Progresista,Economía y Seguridad,Argentina,Salta,Salta Capital,C2 (Medio-Alto)
203,Persona_203,47,Comerciante de barrio,Pragmático,Economía y Seguridad,Argentina,Salta,Cafayate,C3 (Medio)
204,Persona_204,32,Profesional independiente,Liberal,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,C2 (Medio-Alto)
205,Persona_205,70,Trabajador informal,Progresista,Economía y Seguridad,Argentina,Buenos Aires,La Plata,C3 (Medio)
206,Persona_206,64,Emprendedor tech,Liberal,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
207,Persona_207,34,Obrero de fábrica,Liberal,Economía y Seguridad,Argentina,CABA,CABA,C2 (Medio-Alto)
208,Persona_208,52,Emprendedor tech,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
209,Persona_209,65,Programador freelance,Escéptico,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,C2 (Medio-Alto)
210,Persona_210,49,Docente,Pragmático,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,C2 (Medio-Alto)
211,Persona_211,59,Docente,Justicia Social,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,C2 (Medio-Alto)
212,Persona_212,72,Programador freelance,Conservador,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,ABC1 (Alto)
213,Persona_213,56,Estudiante universitario,Pragmático,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,C2 (Medio-Alto)
214,Persona_214,19,Jubilado,Liberal,Economía y Seguridad,Argentina,Salta,Salta Capital,E (Vulnerable)
215,Persona_215,22,Profesional independiente,Antisistema,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
216,Persona_216,43,Comerciante de barrio,Escéptico,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,D1 (Bajo)
217,Persona_217,25,Obrero de fábrica,Justicia Social,Economía y Seguridad,Argentina,CABA,CABA,ABC1 (Alto)
218,Persona_218,71,Trabajador informal,Antisistema,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,ABC1 (Alto)
219,Persona_219,45,Desempleado,Progresista,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,E (Vulnerable)
220,Persona_220,61,Obrero de fábrica,Progresista,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,E (Vulnerable)
221,Persona_221,23,Estudiante universitario,Conservador,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,C3 (Medio)
222,Persona_222,42,Programador freelance,Conservador,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,D1 (Bajo)
223,Persona_223,37,Empleado público,Antisistema,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,ABC1 (Alto)
224,Persona_224,34,Obrero de fábrica,Pragmático,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,E (Vulnerable)
